sequence_number,timestamp_microseconds,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,battery_percent,temperature_celsius
44,8612729,1,6,7,0,11,5,7,5,100,37.10
45,8625479,4,5,7,0,12,5,5,2,100,36.94
46,8636719,1,6,7,0,9,2,8,4,100,36.95
47,8649494,4,4,10,3,9,4,9,2,100,37.13
48,8661354,2,7,8,1,11,3,6,4,100,36.98
50,8685611,1,7,10,1,11,6,6,5,99,36.94
51,8697852,1,7,6,1,11,3,7,2,99,37.08
52,8709763,1,7,10,1,11,4,5,4,99,36.95
53,8722373,0,6,6,3,10,5,7,1,99,37.13
54,8735055,3,7,6,2,9,5,9,4,99,37.10
55,8747898,4,3,9,0,12,4,7,2,99,37.12
56,8759359,1,6,9,2,11,5,7,4,99,37.04
57,8772273,3,5,7,2,9,2,8,2,99,37.08
58,8783989,0,7,6,1,8,6,9,2,99,37.12
59,8796778,1,7,9,2,9,2,9,3,99,36.94
59,8796778,1,7,9,2,9,2,9,3,99,36.94
60,8809580,0,3,9,2,11,3,6,4,99,36.89
61,8821610,4,3,9,3,11,6,5,1,99,37.06
62,8834381,1,3,9,0,10,4,5,5,99,37.08
63,8847931,3,3,8,3,11,5,9,5,99,36.90
64,8859291,2,4,6,1,11,3,7,2,99,37.08
65,8870092,3,4,7,3,8,5,8,2,99,36.89
66,8882858,3,7,9,0,12,4,8,4,99,36.90
67,8895620,1,5,7,0,12,5,8,4,99,37.00
68,8907581,3,7,6,3,9,2,9,1,99,37.09
69,8917960,1,5,9,2,8,5,6,2,99,36.93
70,8931759,1,5,7,2,8,4,9,4,99,36.92
71,8943611,4,6,10,0,10,4,7,5,99,37.13
72,8956188,1,7,9,3,9,6,8,3,99,36.94
73,8969009,0,6,10,1,8,3,9,1,99,36.90
75,8994962,3,3,10,0,9,5,6,1,99,36.95
76,9007831,1,4,9,0,8,4,7,1,99,36.86
77,9028783,1,4,10,2,9,4,9,1,99,36.94
78,9041578,2,4,6,2,9,2,6,2,99,37.03
80,9064224,2,5,8,1,8,5,5,2,99,37.04
81,9076807,4,6,9,1,12,2,7,4,99,36.93
82,9087876,0,3,6,0,9,6,6,2,99,37.01
83,9098939,0,5,8,1,8,2,9,1,99,36.90
84,9109732,1,5,7,0,12,2,6,5,99,37.02
85,9120802,4,3,9,0,8,5,6,1,99,36.93
86,9131856,4,7,7,0,11,3,7,2,99,36.97
87,9144437,4,6,8,0,10,3,7,2,99,37.10
88,9157003,0,5,10,1,11,2,8,5,99,36.91
89,9168590,1,7,10,2,12,3,9,4,99,36.97
90,9181196,3,4,9,1,12,5,6,3,99,36.96
91,9193825,1,4,6,2,11,6,5,5,99,36.86
92,9205708,0,3,7,0,10,2,8,3,99,36.99
93,9216843,3,6,9,2,11,3,9,1,99,36.98
94,9228961,3,3,7,0,8,3,9,2,99,36.89
95,9241704,2,7,10,3,9,5,8,5,99,36.98
96,9254035,2,6,7,0,12,5,7,4,99,37.06
97,9266772,0,7,6,1,10,6,5,3,99,36.86
98,9279573,2,3,8,3,9,6,5,5,99,37.01
100,9305861,4,5,8,0,9,2,5,4,98,37.07
101,9318805,2,7,7,3,11,2,8,5,98,36.85
102,9331104,4,3,10,0,10,6,5,2,98,37.11
103,9343887,3,7,7,0,8,3,7,5,98,37.09
104,9354970,2,5,10,0,11,6,5,2,98,37.02
105,9367745,4,3,7,2,10,4,8,5,98,36.91
106,9380530,0,3,7,2,12,5,9,2,98,37.13
107,9393260,4,6,10,3,8,2,8,2,98,36.98
108,9405541,3,6,9,0,10,3,7,5,98,36.89
109,9418500,0,3,8,3,8,5,8,1,98,37.00
110,9430293,3,5,9,2,11,4,7,5,98,37.06
111,9442510,0,6,10,2,8,3,9,3,98,36.88
112,9455157,3,7,8,3,11,4,9,1,98,36.91
113,9467827,4,5,9,3,12,4,6,1,98,36.95
114,9480501,0,7,10,0,8,6,6,5,98,36.97
115,9493105,4,6,6,0,9,6,9,5,98,36.90
116,9505710,1,5,10,2,12,5,7,1,98,36.90
117,9518352,4,6,8,0,11,3,9,1,98,36.93
118,9531011,1,3,9,0,8,5,7,1,98,37.10
120,9554844,4,5,6,0,8,3,6,2,98,36.88
121,9567715,2,6,8,1,8,5,8,2,98,36.90
122,9580033,0,3,8,3,12,5,9,1,98,37.12
123,9590673,2,7,10,1,12,2,7,5,98,37.13
125,9613396,1,7,10,3,11,4,5,5,98,36.86
126,9623702,3,3,7,0,11,5,5,3,98,36.94
127,9634526,3,3,6,0,9,6,5,4,98,36.87
128,9647321,1,5,6,0,11,5,7,2,98,37.02
129,9659964,2,4,7,0,8,2,7,5,98,36.91
130,9672593,4,3,8,1,8,3,6,5,98,36.86
131,9685603,1,6,9,2,9,5,6,2,98,36.85
132,9696839,0,5,8,0,12,6,8,5,98,37.12
133,9709654,0,3,8,0,12,3,9,5,98,37.06
134,9721271,4,7,10,0,11,4,8,3,98,37.09
135,9734030,1,6,6,2,11,2,7,5,98,37.00
136,9745232,0,5,6,0,12,5,5,3,98,36.85
137,9758019,1,5,6,2,10,5,9,1,98,36.93
138,9768854,0,6,9,1,11,3,7,5,98,37.00
139,9781721,4,7,8,0,9,3,5,4,98,36.89
140,9794559,1,6,9,0,12,5,7,3,98,37.05
141,9807377,4,6,7,2,8,5,7,4,98,37.14
142,9818782,1,5,10,0,9,3,8,2,98,37.05
143,9830174,4,7,8,3,9,4,9,1,98,37.01
144,9840614,3,7,8,1,10,2,6,4,98,36.92
145,9852161,1,3,7,0,11,3,9,5,98,36.95
146,9863801,0,7,10,0,11,2,8,2,98,36.89
147,9876457,1,3,9,0,9,6,8,3,98,36.87
148,9889196,3,6,9,1,11,5,9,2,98,36.99
150,9912843,2,4,8,3,11,3,8,5,97,36.90
151,9924290,4,6,7,2,11,4,7,1,97,37.01
152,9935283,1,5,6,2,11,6,6,5,97,37.04
153,9947959,4,7,10,0,11,6,5,3,97,37.10
154,9960679,3,3,7,3,10,6,6,2,97,36.88
155,9973691,2,7,8,1,9,2,9,3,97,36.86
156,9986496,3,4,10,0,8,3,9,2,97,37.00
157,9999288,2,5,9,0,11,2,8,4,97,36.96
158,10011684,3,4,6,0,12,3,5,2,97,36.99
160,10036934,4,4,6,0,11,2,7,1,97,36.88
161,10049773,4,3,6,2,8,2,8,1,97,37.07
162,10061350,3,6,6,1,12,2,5,3,97,37.02
163,10073233,1,7,10,0,9,3,7,1,97,36.85
164,10085968,3,5,8,1,11,5,8,3,97,37.03
165,10097192,0,6,7,2,12,5,6,2,97,37.06
166,10109942,0,4,10,3,11,6,7,4,97,36.89
167,10122687,2,6,9,3,11,4,6,1,97,36.90
168,10135395,0,7,8,2,11,3,5,4,97,37.08
169,10148136,2,5,6,0,10,3,8,2,97,36.88
170,10159345,2,4,7,0,10,4,6,1,97,36.97
171,10169636,1,3,9,1,11,3,9,3,97,36.89
172,10180822,4,7,9,3,12,6,8,1,97,37.08
173,10192018,2,3,6,2,12,6,7,3,97,36.87
175,10215261,0,3,10,1,9,6,7,2,97,37.04
176,10226429,1,3,8,3,12,5,7,2,97,37.05
177,10239153,4,4,9,3,10,5,9,1,97,37.01
178,10251465,0,5,6,0,12,2,8,1,97,36.89
179,10264118,3,5,9,1,9,2,9,5,97,36.98
179,10264118,3,5,9,1,9,2,9,5,97,36.98
180,10276883,1,6,8,0,11,5,6,4,97,36.94
181,10289647,4,6,6,2,8,4,5,2,97,37.02
182,10302019,0,4,6,0,10,2,8,1,97,36.96
183,10313314,3,7,7,0,8,3,6,1,97,36.92
184,10325867,0,3,8,2,10,4,8,2,97,36.85
185,10337413,2,6,9,0,10,6,8,4,97,36.97
186,10350172,0,7,7,2,8,5,7,1,97,37.01
187,10361190,2,7,7,3,8,2,5,4,97,36.98
188,10373975,4,4,10,0,9,4,7,5,97,36.98
189,10385310,2,6,10,0,10,2,9,3,97,36.88
190,10398098,2,7,9,1,11,2,7,2,97,37.04
191,10410817,4,5,7,2,11,4,9,3,97,37.14
192,10423090,1,4,10,3,11,6,5,3,97,36.97
193,10435899,4,4,10,2,10,3,6,2,97,36.92
194,10448860,3,5,10,3,10,5,6,5,97,37.05
195,10461650,0,6,9,2,9,4,7,2,97,36.98
196,10474514,4,6,8,0,10,2,5,2,97,36.92
197,10485295,3,5,9,0,8,5,9,4,97,37.14
198,10498080,3,4,10,1,11,4,7,4,97,36.91
200,10522966,4,3,7,1,8,5,9,1,96,36.85
201,10535274,1,7,9,3,10,2,7,1,96,36.92
202,10547905,3,4,8,3,10,2,7,4,96,37.12
203,10560441,4,6,10,1,12,6,8,2,96,37.12
204,10573082,2,4,8,0,9,4,8,4,96,36.92
205,10584156,2,5,7,0,9,2,6,3,96,36.95
206,10595196,2,6,9,0,9,5,9,4,96,36.99
207,10607465,2,6,7,2,9,6,5,1,96,36.95
208,10619716,1,5,9,0,9,3,6,1,96,37.02
209,10632058,3,6,8,2,12,4,5,4,96,37.12
210,10644622,3,7,6,0,8,2,5,3,96,36.98
211,10656163,1,6,6,1,9,5,5,2,96,36.94
212,10667495,0,5,8,3,11,2,7,1,96,37.07
213,10680087,1,7,8,2,12,5,5,1,96,36.98
214,10692565,1,5,8,0,8,2,5,4,96,36.97
215,10705153,4,7,10,0,11,4,5,4,96,36.87
216,10717791,1,6,6,2,8,4,5,4,96,37.05
217,10730546,0,7,8,1,12,2,9,5,96,36.98
218,10742395,4,5,9,2,9,5,7,1,96,37.02
219,10755105,1,6,7,3,9,5,5,1,96,36.92
220,10767918,2,6,7,2,9,4,6,1,96,36.86
221,10780712,2,3,6,2,9,6,9,5,96,37.10
222,10793516,2,3,8,0,12,5,8,3,96,36.90
223,10806316,3,4,7,0,11,3,6,5,96,37.06
225,10832060,1,7,9,0,11,5,7,2,96,37.09
226,10845007,3,3,8,2,11,2,7,3,96,37.06
227,10857332,3,3,7,3,8,3,8,4,96,37.05
228,10870566,4,5,10,2,8,3,8,2,96,37.11
229,10883216,4,5,7,0,12,5,6,3,96,36.97
230,10895958,0,5,7,2,8,2,5,1,96,37.12
231,10907903,2,4,8,2,9,5,6,2,96,37.10
232,10919658,1,6,9,0,12,2,9,3,96,37.05
233,10930933,2,7,7,2,9,5,8,4,96,36.88
234,10943115,1,3,9,1,8,4,6,5,96,37.03
235,10955124,3,3,7,0,10,5,8,5,96,37.07
236,10967890,2,3,10,1,12,6,6,2,96,37.10
237,10985368,3,5,6,1,12,2,5,5,96,37.06
238,11005446,0,6,6,0,12,2,8,1,96,37.10
240,11033688,1,6,7,1,9,2,5,5,96,37.05
241,11044332,2,4,8,0,9,3,9,1,96,36.92
242,11056911,0,3,6,0,9,6,6,2,96,36.88
243,11068595,1,7,6,0,12,2,9,5,96,37.03
244,11081172,1,3,7,1,8,5,8,1,96,36.98
245,11093789,4,5,7,3,8,3,8,1,96,37.08
246,11106408,4,4,7,3,10,5,9,1,96,37.07
247,11118605,3,6,6,0,11,2,7,2,96,36.85
248,11131222,1,5,10,3,8,3,5,5,96,36.99
250,11156698,1,4,8,1,8,5,9,4,95,36.85
251,11167534,1,3,6,0,9,3,9,3,95,36.97
252,11180240,0,5,7,0,11,4,8,3,95,37.03
253,11193049,0,6,8,1,8,2,7,4,95,37.08
254,11205612,3,3,6,2,12,6,6,3,95,36.99
255,11217986,1,7,8,2,11,6,5,3,95,37.13
256,11230728,1,3,10,0,8,6,6,2,95,37.00
257,11242530,0,5,10,1,12,5,8,4,95,37.04
258,11252946,0,5,6,0,12,4,5,2,95,37.03
259,11265520,3,3,9,0,9,5,6,1,95,36.85
260,11278287,2,4,7,1,9,6,5,5,95,37.02
261,11288845,2,5,9,2,10,3,7,2,95,36.92
262,11301782,2,5,10,0,8,4,8,4,95,37.06
263,11314471,4,4,10,0,11,6,5,1,95,37.06
264,11327224,3,7,6,0,8,4,9,5,95,37.00
265,11339913,0,3,10,1,8,5,8,4,95,37.12
266,11352585,3,6,10,1,11,3,9,3,95,37.11
267,11365212,0,6,7,1,12,4,6,1,95,37.03
268,11377850,0,3,10,2,10,6,6,1,95,36.91
269,11390482,1,7,8,2,10,3,7,5,95,36.85
270,11403108,1,4,6,3,8,6,8,1,95,37.04
271,11415759,1,7,8,0,10,6,7,3,95,36.96
272,11428414,3,5,7,1,12,4,6,5,95,36.98
273,11439999,3,3,9,0,10,2,9,5,95,36.97
275,11464612,1,5,8,1,8,2,8,1,95,36.91
276,11477205,2,7,7,0,8,3,6,5,95,36.96
277,11489830,2,3,8,2,12,3,7,4,95,37.07
278,11502462,4,7,8,1,8,3,9,4,95,37.02
280,11527671,0,4,8,0,9,6,7,4,95,37.03
281,11538608,1,4,8,0,10,4,9,3,95,36.87
282,11551260,4,7,6,3,9,5,8,2,95,36.95
283,11563835,1,4,7,0,8,4,7,5,95,37.01
284,11576486,3,6,7,1,10,2,8,3,95,37.08
285,11589140,1,4,8,0,11,4,9,3,95,36.88
286,11600641,3,7,10,3,8,6,7,5,95,36.86
287,11612313,2,3,7,2,9,6,9,5,95,36.85
288,11624239,0,3,6,2,8,6,8,3,95,37.03
289,11635811,3,7,6,0,12,3,6,2,95,37.13
290,11647831,2,5,8,0,12,3,5,1,95,37.06
291,11658373,1,6,9,0,11,6,9,5,95,36.93
292,11669676,2,7,9,0,8,4,9,2,95,37.02
293,11682190,2,5,10,2,11,6,7,1,95,37.05
294,11694153,3,7,10,1,8,2,6,3,95,37.08
295,11705408,3,5,9,1,10,4,7,1,95,36.94
296,11718216,1,4,6,3,8,2,6,3,95,36.90
297,11728695,1,7,9,0,10,4,8,2,95,36.96
298,11739049,1,5,7,0,11,2,8,3,95,37.09
300,11763109,1,7,9,0,9,6,8,2,94,42.14
301,11774991,3,7,10,0,9,5,7,3,94,41.94
302,11785325,1,7,7,3,8,4,7,4,94,42.14
303,11798185,0,5,8,3,11,6,5,5,94,41.96
304,11810865,3,7,9,3,9,2,7,5,94,42.04
305,11823576,4,3,6,0,11,3,9,4,94,41.94
306,11835300,0,4,10,2,12,2,7,4,94,41.85
307,11848180,4,6,6,0,10,3,6,1,94,42.03
308,11860848,0,5,9,0,9,3,7,5,94,41.94
309,11873525,0,5,9,1,8,2,7,3,94,42.08
310,11885287,0,5,10,0,8,5,8,2,94,42.12
311,11897987,1,4,9,0,11,2,9,4,94,42.09
312,11910727,4,3,8,0,12,4,5,4,94,42.04
313,11923063,4,7,8,2,11,3,7,2,94,42.08
314,11935338,0,4,8,0,8,5,8,4,94,41.89
315,11946055,2,7,7,0,11,5,9,4,94,41.87
316,11958842,2,5,6,3,8,4,7,2,94,41.92
317,11971535,1,3,8,0,8,4,9,3,94,42.06
318,11984216,4,5,10,0,12,5,8,3,94,42.09
320,12007701,4,6,9,2,9,3,8,4,94,41.90
321,12020371,3,3,7,0,11,2,7,5,94,42.01
322,12034051,4,5,7,0,8,5,7,3,94,41.85
323,12046847,1,4,6,3,11,5,8,4,94,41.92
325,12072170,4,3,10,1,8,4,9,4,94,42.00
326,12084720,4,6,6,1,9,4,5,4,94,41.99
327,12097394,3,4,7,0,10,5,9,3,94,41.93
328,12110058,1,5,6,0,9,6,7,5,94,41.92
329,12122592,0,5,8,0,12,6,7,4,94,41.93
330,12135262,0,3,6,0,10,2,7,1,94,42.03
331,12147900,0,6,9,1,10,5,9,5,94,41.90
332,12160581,1,6,8,0,10,4,8,4,94,42.03
333,12173207,4,6,10,0,12,3,7,2,94,42.09
334,12185261,4,3,8,1,8,5,5,2,94,41.99
335,12197836,1,6,9,3,12,4,9,4,94,41.87
336,12209759,4,4,6,2,12,6,8,4,94,41.95
337,12220859,4,5,7,3,9,5,9,4,94,41.94
338,12231564,1,3,10,0,12,6,9,3,94,41.88
339,12243090,1,3,9,3,12,3,9,5,94,41.85
340,12255057,2,6,6,0,8,4,8,5,94,41.86
341,12267716,1,5,8,3,12,6,9,5,94,41.89
342,12280325,2,6,10,1,10,2,8,5,94,42.02
343,12292987,0,3,8,3,8,3,5,2,94,42.05
344,12305362,3,6,10,0,10,6,7,1,94,42.13
345,12318128,0,3,8,3,9,2,7,3,94,42.06
346,12330919,4,7,6,1,10,3,6,1,94,42.01
347,12348712,2,7,8,0,11,5,9,2,94,41.92
348,12366005,2,3,7,0,11,6,9,1,94,41.95
350,12389966,2,4,10,1,8,5,6,1,93,37.08
351,12402610,4,7,10,1,9,6,8,4,93,36.86
352,12414599,4,5,9,2,12,4,7,2,93,36.88
353,12427195,4,7,9,1,10,5,7,2,93,36.88
354,12438873,2,4,6,1,8,3,7,2,93,37.09
355,12451462,1,6,10,0,9,4,9,5,93,37.06
356,12464072,0,5,7,1,9,4,7,5,93,37.11
357,12476659,1,5,8,2,11,6,6,1,93,37.13
358,12488725,0,3,9,2,8,4,5,2,93,37.08
360,12511892,0,4,9,3,12,3,6,3,93,37.06
361,12523649,3,3,10,2,11,2,5,2,93,36.94
362,12534182,4,5,10,2,9,4,7,1,93,36.96
363,12546839,1,3,7,0,10,2,9,1,93,36.90
364,12559722,1,4,10,2,10,5,7,1,93,36.99
365,12572129,4,3,8,0,9,4,7,2,93,37.09
366,12584984,4,6,7,3,8,5,6,2,93,37.05
367,12595857,4,4,7,2,9,3,7,3,93,36.93
368,12608611,3,5,7,2,12,6,9,2,93,37.09
369,12621478,0,6,9,1,9,6,8,5,93,36.87
370,12634230,2,3,8,0,12,6,9,5,93,36.87
371,12647285,3,4,6,1,12,2,8,5,93,37.10
372,12659804,0,7,10,1,11,4,5,3,93,36.86
373,12672718,0,5,8,3,10,2,6,2,93,36.98
375,12698490,1,6,8,0,8,6,5,5,93,36.86
376,12710669,1,5,6,2,11,4,7,4,93,37.14
377,12722447,0,4,10,0,9,2,9,4,93,36.86
378,12734860,4,4,8,0,12,3,6,4,93,37.02
379,12747686,2,4,7,0,12,2,5,2,93,36.93
380,12759490,4,3,9,2,10,5,8,3,93,36.95
381,12772408,0,6,7,0,11,2,9,2,93,36.97
382,12785468,3,4,7,3,12,6,5,3,93,37.04
383,12796389,4,5,8,0,11,5,8,1,93,37.04
384,12809260,0,6,8,3,12,2,6,3,93,36.91
385,12821408,0,5,7,3,8,4,5,3,93,36.85
386,12834328,4,5,8,2,8,2,6,5,93,37.00
387,12846715,0,3,7,0,12,6,9,2,93,36.95
388,12857878,3,7,8,2,10,3,6,3,93,37.07
389,12870381,0,6,6,2,11,3,6,3,93,36.91
390,12882458,2,5,7,1,9,4,7,4,93,36.86
391,12895291,0,5,9,2,8,5,7,4,93,37.12
392,12907848,3,5,9,3,12,2,8,5,93,36.91
393,12920310,0,4,9,3,10,2,8,4,93,36.88
394,12933062,1,6,8,3,9,5,5,2,93,36.93
395,12945892,4,5,6,0,12,5,5,5,93,36.94
396,12958327,0,4,10,3,10,4,6,4,93,36.88
397,12968971,1,5,6,2,9,5,7,1,93,37.00
398,12980597,4,3,6,0,12,6,6,1,93,36.90
400,13004748,1,4,6,2,9,3,6,4,92,36.88
401,13017420,4,3,6,2,8,3,9,1,92,36.96
402,13029973,0,3,9,2,8,4,5,2,92,37.08
403,13041397,4,3,8,0,10,3,9,2,92,37.01
404,13053879,4,7,6,0,11,4,8,4,92,37.06
405,13066645,1,6,6,0,10,5,7,5,92,37.02
406,13077299,3,4,7,0,12,2,5,3,92,36.98
407,13089175,2,7,7,0,10,6,9,4,92,36.88
408,13100851,4,5,6,1,9,2,8,1,92,37.11
409,13112916,0,5,6,2,12,6,9,4,92,37.07
410,13125272,2,6,7,2,11,4,9,4,92,37.14
411,13137981,0,4,6,0,12,5,5,3,92,36.97
412,13150766,0,5,7,3,9,5,5,3,92,36.91
413,13161472,4,7,8,3,12,6,9,5,92,37.02
414,13171910,2,3,10,1,12,5,7,5,92,37.08
415,13183042,1,5,8,3,12,2,8,5,92,36.89
416,13195222,4,5,10,0,8,5,9,4,92,37.11
417,13207967,2,6,8,0,11,2,6,3,92,37.09
418,13219649,3,7,8,1,10,2,5,3,92,37.01
419,13232415,1,3,9,1,10,5,8,2,92,36.88
419,13232415,1,3,9,1,10,5,8,2,92,36.88
420,13244528,4,5,6,1,9,6,5,5,92,36.97
421,13255288,0,6,8,0,11,3,6,1,92,37.00
422,13268200,4,6,6,2,12,5,8,2,92,36.87
423,13280957,3,5,10,0,8,6,6,1,92,37.10
425,13305046,1,6,7,0,8,5,5,3,92,36.96
426,13317814,2,7,9,0,11,4,6,1,92,36.96
427,13330625,4,6,7,0,11,2,6,2,92,37.05
428,13343140,1,6,7,2,9,5,6,5,92,36.86
429,13356004,0,3,9,0,11,6,5,3,92,37.03
430,13368632,1,3,8,0,8,2,5,4,92,36.99
431,13381445,0,3,8,3,8,6,6,4,92,36.99
432,13392658,3,5,6,3,12,2,5,5,92,37.13
433,13404529,4,5,7,2,9,3,5,5,92,37.02
434,13417420,2,6,10,3,10,4,5,1,92,36.96
435,13428826,4,4,10,1,12,5,5,1,92,37.12
436,13440590,4,3,7,2,10,3,8,2,92,37.14
437,13453377,2,5,8,3,11,5,8,2,92,36.85
438,13466151,2,7,8,1,9,6,9,1,92,36.86
440,13491770,4,5,10,2,10,5,7,1,92,37.03
441,13505878,2,7,9,3,9,5,7,5,92,37.02
442,13518570,2,3,10,0,12,5,9,2,92,37.00
443,13530651,4,7,10,1,9,5,9,4,92,36.89
444,13542583,4,7,8,2,9,2,9,5,92,37.08
445,13555481,3,5,9,0,9,5,5,5,92,37.03
446,13567583,3,5,6,0,9,2,6,4,92,37.11
447,13580449,1,5,10,2,11,4,8,5,92,36.89
448,13593148,0,3,10,1,10,2,5,2,92,37.07
450,13618808,2,4,8,0,9,5,6,3,91,37.04
451,13631560,0,4,6,0,10,3,9,4,91,36.99
452,13643152,0,7,6,2,10,2,9,2,91,37.14
453,13655963,4,4,7,1,12,6,9,5,91,37.08
454,13668714,1,4,6,2,10,3,5,2,91,36.91
455,13680168,2,4,6,2,8,3,7,3,91,37.14
456,13693037,1,3,7,1,9,6,6,1,91,36.85
457,13704144,1,3,6,3,11,4,6,5,91,37.07
458,13717019,4,7,9,1,8,5,6,1,91,37.11
459,13729472,0,4,10,0,12,5,9,3,91,36.95
460,13740714,0,5,7,1,9,2,8,1,91,36.91
461,13752159,4,5,8,3,10,6,5,2,91,36.98
462,13763479,1,6,6,3,10,4,9,5,91,37.05
463,13776404,1,4,6,1,8,4,7,3,91,37.08
464,13787304,1,5,7,2,11,3,8,4,91,36.94
465,13800120,4,7,9,2,11,4,8,2,91,36.92
466,13812974,2,5,6,2,9,6,5,5,91,37.04
467,13825830,1,5,6,0,10,5,9,3,91,36.86
468,13838653,2,5,8,2,11,2,8,4,91,37.00
469,13851495,2,4,7,0,11,6,5,4,91,36.99
470,13865084,0,6,10,0,12,2,8,5,91,36.97
471,13877957,1,3,6,1,10,2,8,1,91,36.86
472,13889366,0,7,7,0,9,5,8,1,91,37.12
473,13901266,0,6,6,0,9,2,9,3,91,37.10
475,13926470,1,3,6,2,10,5,8,1,91,36.87
476,13938682,0,3,9,0,11,5,9,1,91,36.99
477,13950907,4,4,8,0,12,2,7,2,91,37.09
478,13963094,0,4,9,0,11,2,7,2,91,37.10
480,13988795,4,5,7,0,10,6,9,2,91,36.96
481,14001637,3,7,8,3,10,3,7,1,91,37.07
482,14013115,3,6,9,3,8,3,5,4,91,37.01
483,14026097,2,7,7,3,10,6,7,4,91,36.96
484,14039001,3,5,7,0,11,3,9,5,91,37.01
485,14049577,2,3,7,3,12,2,7,3,91,37.01
486,14062349,0,5,10,0,12,2,5,3,91,36.86
487,14075309,1,7,10,3,10,2,9,4,91,37.09
488,14086347,3,6,9,3,9,5,8,4,91,37.12
489,14099191,4,6,9,0,12,2,5,5,91,36.97
490,14112021,1,7,9,3,9,6,6,1,91,37.07
491,14122611,2,7,8,3,11,5,8,5,91,36.91
492,14135367,1,6,10,3,11,6,6,2,91,36.92
493,14146642,2,4,8,0,10,6,9,3,91,37.08
494,14157952,0,4,9,0,8,5,5,5,91,37.13
495,14168693,1,6,9,3,10,4,6,4,91,37.06
496,14181558,3,5,6,2,11,2,7,4,91,37.00
497,14192556,0,3,6,0,9,6,6,2,91,36.98
498,14205457,3,3,8,0,12,2,7,4,91,37.13
500,14229983,4,5,9,0,8,2,5,2,90,37.07
501,14242836,3,3,6,1,8,3,9,4,90,36.96
502,14255914,0,3,8,0,10,4,8,3,90,37.14
503,14268665,0,4,6,1,9,5,8,4,90,37.02
504,14280020,3,5,10,0,10,6,9,2,90,36.97
505,14292929,3,6,8,3,11,4,6,5,90,37.00
506,14304669,4,7,8,1,10,2,6,3,90,37.13
507,14317554,4,6,10,2,9,5,6,4,90,37.10
508,14330518,1,7,8,2,11,6,6,5,90,37.00
509,14343434,2,5,10,0,8,2,6,1,90,37.03
510,14356425,4,6,6,2,8,6,6,1,90,36.98
511,14368788,1,6,6,1,9,4,9,1,90,37.11
512,14379330,1,4,6,0,12,4,6,2,90,36.88
513,14391140,4,4,9,1,12,6,9,1,90,37.10
514,14402711,4,4,7,1,10,3,5,5,90,37.01
515,14418673,2,3,10,2,8,6,8,3,90,37.09
516,14431291,0,5,6,3,9,6,5,5,90,36.89
517,14443920,2,7,6,0,10,5,7,3,90,37.08
518,14456571,2,6,7,2,12,2,7,2,90,37.05
520,14481669,1,4,9,2,10,3,7,3,90,36.89
521,14494230,2,5,9,0,11,6,8,4,90,36.90
522,14505392,3,6,6,0,8,4,6,1,90,37.11
